filename,artist,lof_raw_score,lof_anomaly_score,lof_flag
Impressionism/claude-monet_water-lily-pond-at-giverny-1919.jpg,claude monet,1.0417159,0.14935258,0
Impressionism/claude-monet_dandelions.jpg,claude monet,1.3875887,0.77587897,0
Impressionism/claude-monet_the-tea-set.jpg,claude monet,1.2074728,0.4496106,0
Impressionism/edgar-degas_seated-bather-1899.jpg,edgar degas,1.0040953,0.0812054,0
Impressionism/victor-brauner_theo-brauner.jpg,victor brauner,1.0417318,0.14938152,0
Impressionism/claude-monet_cliffs-near-pourville.jpg,claude monet,1.042448,0.15067889,0
Impressionism/cornelis-vreedenburgh_view-on-the-amstel.jpg,cornelis vreedenburgh,1.0978947,0.25111687,0
Impressionism/edouard-manet_lady-in-a-fur.jpg,edouard manet,1.0183367,0.10700266,0
Impressionism/claude-monet_zuiderkerk-in-amsterdam.jpg,claude monet,0.983325,0.04358132,0
Impressionism/william-merritt-chase_sunlight-and-shadow-shinnecock-hills.jpg,william merritt chase,0.9916867,0.058727995,0
Impressionism/pierre-auguste-renoir_the-swimmer-sitting.jpg,pierre auguste renoir,1.0148023,0.10060047,0
Impressionism/guy-rose_the-bridge-at-vernon.jpg,guy rose,1.2071896,0.4490975,0
Impressionism/santiago-rusinol_la-butte.jpg,santiago rusinol,1.2750458,0.57201463,0
Impressionism/edgar-degas_the-tub-1886-1.jpg,edgar degas,1.1088362,0.2709367,0
Impressionism/childe-hassam_lady-in-the-park-aka-in-the-garden.jpg,childe hassam,1.0910275,0.23867743,0
Impressionism/camille-pissarro_pink-peonies-1873.jpg,camille pissarro,1.0986793,0.25253817,0
Impressionism/wilhelm-leibl_m-dchen-am-fenster-1899.jpg,wilhelm leibl,1.0339931,0.13536336,0
Impressionism/nicolae-vermont_reading-1919.jpg,nicolae vermont,1.0065819,0.08570969,0
Impressionism/max-slevogt_the-dancer-marietta-di-rigardo.jpg,max slevogt,1.0391574,0.14471808,0
Impressionism/zinaida-serebriakova_in-the-studio-braz-france-1906.jpg,zinaida serebriakova,1.0277765,0.124102294,0
Impressionism/pierre-auguste-renoir_wilhelm-muhlfeld-1910.jpg,pierre auguste renoir,1.0792981,0.21743046,0
