filename,artist,global_cosine_sim,global_anomaly_score
Realism/vasily-polenov_winter-imochentsy-1880.jpg,vasily polenov,0.46389613,0.53610384
Realism/ivan-vladimirov_the-soldier-on-the-position-1916.jpg,ivan vladimirov,0.5672897,0.4327103
Realism/aleksey-savrasov_type-of-kiev-from-the-dnieper-to-the-pechersk-lavra-1852.jpg,aleksey savrasov,0.50325084,0.49674916
Realism/salvador-dali_portrait-of-the-marquis-de-cuevas.jpg,salvador dali,0.6777222,0.32227778
Realism/constantin-stahi_queen-elizabeth-and-princess-m-rioara-1877.jpg,constantin stahi,0.54138017,0.45861983
Realism/viktor-vasnetsov_pond-in-ochtir-1880.jpg,viktor vasnetsov,0.42243433,0.57756567
Realism/pavel-fedotov_andrey-grigoriy-and-alexander-druzhinin.jpg,pavel fedotov,0.5453651,0.4546349
Realism/henri-fantin-latour_daisies-1872.jpg,henri fantin latour,0.32244605,0.67755395
Realism/john-singer-sargent_mrs-walter-bacon-virginia-purdy-barker-1896.jpg,john singer sargent,0.6417893,0.35821068
Realism/jean-francois-millet_puy-de-dome.jpg,jean francois millet,0.5126302,0.48736978
Realism/david-burliuk_an-actor-1938.jpg,david burliuk,0.57177424,0.42822576
Impressionism/wilhelm-leibl_strickende-m-dchen-auf-der-ofenbank-1895.jpg,wilhelm leibl,0.71174264,0.28825736
Realism/vincent-van-gogh_scheveningen-road-1882.jpg,vincent van gogh,0.6594009,0.34059912
Realism/nicholas-roerich_skulls-1901.jpg,nicholas roerich,0.59521306,0.40478694
Realism/vasily-surikov_fourth-ecumenical-council-of-chalcedon-1876.jpg,vasily surikov,0.638342,0.36165798
Realism/vasily-vereshchagin_letter-remained-unfinished-1901.jpg,vasily vereshchagin,0.61362845,0.38637155
Realism/ivan-shishkin_pine-forest-1885-1.jpg,ivan shishkin,0.2923211,0.7076789
Realism/ivan-shishkin_pines-1892.jpg,ivan shishkin,0.5651578,0.43484223
Realism/charles-francois-daubigny_the-banks-of-the-oise-1877.jpg,charles francois daubigny,0.55861914,0.44138086
Realism/alexey-bogolyubov_view-of-moscow-from-the-house-of-g-i-chludov-1878.jpg,alexey bogolyubov,0.526094,0.47390598
Realism/thomas-eakins_anatomical-studies.jpg,thomas eakins,0.39202935,0.60797065
Realism/vincent-van-gogh_vase-with-flowers.jpg,vincent van gogh,0.3945337,0.6054663
Realism/vincent-van-gogh_still-life-with-scabiosa-and-ranunculus-1886.jpg,vincent van gogh,0.48322693,0.5167731
Realism/john-singer-sargent_my-dining-room.jpg,john singer sargent,0.40584517,0.59415483
Realism/vincent-van-gogh_church-pew-with-worshippers-1882(1).jpg,vincent van gogh,0.56974804,0.43025196
Realism/james-tissot_in-church.jpg,james tissot,0.5470419,0.4529581
Realism/isaac-levitan_at-twilight-river-istra-1885.jpg,isaac levitan,0.50940603,0.49059397
Impressionism/theo-van-rysselberghe_spaarnwoude-island-1883.jpg,theo van rysselberghe,0.65203285,0.34796715
Realism/vincent-van-gogh_still-life-with-basket-of-apples-1885.jpg,vincent van gogh,0.36655873,0.63344127
